Company,Ram,Touchscreen,Gpu_brand,Cpu_brand,P,os
Apple,8,0,Intel,Intel Core i5,2.855,Mac
Apple,8,0,Intel,Intel Core i5,1.916,Mac
HP,8,0,Intel,Intel Core i5,1.225,Linux
Apple,16,0,AMD,Intel Core i7,5.408,Mac
Apple,8,0,Intel,Intel Core i5,3.844,Mac
Acer,4,0,AMD,AMD Processor,0.852,Windows
Apple,16,0,Intel,Intel Core i7,4.561,Mac
Apple,8,0,Intel,Intel Core i5,2.469,Mac
Asus,16,0,Nvidia,Intel Core i7,3.186,Windows
Acer,8,0,Intel,Intel Core i5,1.641,Windows
HP,4,0,Intel,Intel Core i5,0.839,Linux
HP,4,0,Intel,Intel Core i3,0.735,Linux
Apple,16,0,AMD,Intel Core i7,5.2,Mac
Dell,4,0,AMD,Intel Core i3,1.063,Windows
Apple,8,0,Intel,Intel Dual Core,2.69,Mac
Apple,8,0,Intel,Intel Core i5,3.236,Mac
Dell,8,0,AMD,Intel Core i7,1.588,Windows
Apple,16,0,AMD,Intel Core i7,6.091,Mac
Lenovo,8,0,Nvidia,Intel Core i3,1.063,Linux
Dell,8,1,Intel,Intel Core i5,2.086,Windows
Asus,2,0,Intel,Intel Dual Core,0.409,Windows
Lenovo,8,0,Nvidia,Intel Core i5,2.129,Windows
HP,4,0,AMD,AMD Processor,0.55,Linux
Dell,8,1,Intel,Intel Core i5,1.745,Windows
HP,8,0,Intel,Intel Core i7,1.404,Windows
Dell,4,0,Intel,Intel Core i3,0.892,Windows
Apple,8,0,Intel,Intel Core i5,2.342,Mac
Dell,8,0,AMD,Intel Core i5,1.705,Windows
Dell,8,0,Intel,Intel Core i7,2.766,Windows
HP,8,0,Nvidia,Intel Core i5,1.91,Windows
Chuwi,4,0,Intel,Intel Dual Core,0.522,Windows
Asus,2,0,AMD,AMD Processor,0.424,Windows
HP,4,0,AMD,AMD Processor,0.936,Windows
Dell,16,1,Intel,Intel Core i7,3.983,Windows
Apple,8,0,Intel,Intel Core i5,2.127,Mac
Lenovo,4,0,Intel,Intel Dual Core,0.531,Windows
Acer,4,0,Intel,Intel Core i3,0.782,Linux
Dell,8,0,AMD,Intel Core i5,2.086,Windows
HP,4,0,Intel,Intel Core i5,1.041,Windows
HP,8,0,Nvidia,Intel Core i5,1.873,Windows
Asus,4,0,Intel,Intel Core i3,0.829,Linux
Dell,16,0,Nvidia,Intel Core i7,3.195,Windows
Asus,8,0,Nvidia,Intel Core i5,1.115,Linux
Acer,4,0,Intel,Intel Core i5,1.453,Windows
Dell,12,1,Nvidia,Intel Core i5,2.129,Windows
Apple,8,0,Intel,Intel Core i5,3.024,Mac
