Company,Ram,Touchscreen,Gpu_brand,Cpu_brand,P,os,M,G,MD,W,AI,S,O
Apple,8,0,Intel,Intel Core i5,2.855,Mac,1,0,0,0,0,1,1
Apple,8,0,Intel,Intel Core i5,1.916,Mac,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i5,1.225,Linux,1,0,0,0,0,1,1
Apple,16,0,AMD,Intel Core i7,5.408,Mac,1,1,1,1,1,0,0
Apple,8,0,Intel,Intel Core i5,3.844,Mac,1,0,0,0,0,1,1
Acer,4,0,AMD,AMD Processor,0.852,Windows,0,0,0,0,0,0,0
Apple,16,0,Intel,Intel Core i7,4.561,Mac,1,0,0,1,1,1,1
Apple,8,0,Intel,Intel Core i5,2.469,Mac,1,0,0,0,0,1,1
Asus,16,0,Nvidia,Intel Core i7,3.186,Windows,1,1,1,1,1,0,0
Acer,8,0,Intel,Intel Core i5,1.641,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i5,0.839,Linux,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i3,0.735,Linux,1,0,0,0,0,1,1
Apple,16,0,AMD,Intel Core i7,5.2,Mac,1,1,1,1,1,0,0
Dell,4,0,AMD,Intel Core i3,1.063,Windows,1,0,0,0,0,1,1
Apple,8,0,Intel,Intel Dual Core,2.69,Mac,1,0,0,0,0,1,1
Apple,8,0,Intel,Intel Core i5,3.236,Mac,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i7,1.588,Windows,1,0,0,0,1,0,0
Apple,16,0,AMD,Intel Core i7,6.091,Mac,1,1,1,1,1,0,0
Lenovo,8,0,Nvidia,Intel Core i3,1.063,Linux,1,0,0,0,0,1,1
Dell,8,1,Intel,Intel Core i5,2.086,Windows,1,0,0,0,0,1,1
Asus,2,0,Intel,Intel Dual Core,0.409,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i5,2.129,Windows,0,0,0,0,0,0,0
HP,4,0,AMD,AMD Processor,0.55,Linux,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i5,1.745,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,1.404,Windows,1,0,0,0,1,1,1
Dell,4,0,Intel,Intel Core i3,0.892,Windows,1,0,0,0,0,1,1
Apple,8,0,Intel,Intel Core i5,2.342,Mac,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.705,Windows,0,0,0,0,0,0,0
Dell,8,0,Intel,Intel Core i7,2.766,Windows,1,0,0,0,1,1,1
HP,8,0,Nvidia,Intel Core i5,1.91,Windows,0,0,0,0,0,0,0
Chuwi,4,0,Intel,Intel Dual Core,0.522,Windows,1,0,0,0,0,1,1
Asus,2,0,AMD,AMD Processor,0.424,Windows,0,0,0,0,0,0,0
HP,4,0,AMD,AMD Processor,0.936,Windows,0,0,0,0,0,0,0
Dell,16,1,Intel,Intel Core i7,3.983,Windows,1,0,0,1,1,1,1
Apple,8,0,Intel,Intel Core i5,2.127,Mac,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.531,Windows,1,0,0,0,0,1,1
Acer,4,0,Intel,Intel Core i3,0.782,Linux,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,2.086,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Core i5,1.041,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i5,1.873,Windows,0,0,0,0,0,0,0
Asus,4,0,Intel,Intel Core i3,0.829,Linux,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,3.195,Windows,1,1,1,1,1,0,0
Asus,8,0,Nvidia,Intel Core i5,1.115,Linux,0,0,0,0,0,0,0
Acer,4,0,Intel,Intel Core i5,1.453,Windows,1,0,0,0,0,1,1
Dell,12,1,Nvidia,Intel Core i5,2.129,Windows,0,0,0,0,0,0,0
Apple,8,0,Intel,Intel Core i5,3.024,Mac,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i3,0.786,Linux,1,0,0,0,0,1,1
Asus,8,0,AMD,AMD Processor,2.768,Windows,0,0,0,0,0,0,0
Dell,4,0,AMD,Intel Core i5,1.362,Windows,0,0,0,0,0,0,0
Asus,4,0,Nvidia,Intel Dual Core,0.993,Windows,0,0,0,0,0,0,0
Lenovo,4,1,Intel,Intel Dual Core,0.68,Linux,1,0,0,0,0,1,1
Acer,8,0,Nvidia,Intel Core i7,1.792,Windows,1,0,0,0,1,0,0
HP,4,0,AMD,AMD Processor,0.849,Windows,0,0,0,0,0,0,0
HP,8,0,Intel,Intel Core i7,2.351,Windows,1,0,0,0,1,1,1
Acer,4,0,Intel,Intel Core i3,0.818,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i7,1.636,Windows,1,0,0,0,1,0,0
HP,4,0,Intel,Intel Core i3,0.936,Windows,1,0,0,0,0,1,1
Asus,4,0,Intel,Intel Core i5,1.249,Windows,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,5.219,Windows,1,1,1,1,1,0,0
Asus,4,0,Intel,Intel Core i3,0.884,Linux,1,0,0,0,0,1,1
Dell,16,0,AMD,Intel Core i7,2.768,Windows,1,1,1,1,1,0,0
Dell,8,0,Intel,Intel Core i5,1.873,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i3,1.277,Linux,1,0,0,0,0,1,1
Asus,8,0,Intel,Intel Core i5,2.005,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i5,1.471,Windows,1,0,0,0,0,1,1
