M,G,MD,W,AI,S,O,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,0,0,0,0,1,1,2.855,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.916,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.225,Linux,HP,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,5.408,Mac,Apple,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,3.844,Mac,Apple,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,0.852,Windows,Acer,0,AMD Processor,4,AMD
1,0,0,1,1,1,1,4.561,Mac,Apple,0,Intel Core i7,16,Intel
1,0,0,0,0,1,1,2.469,Mac,Apple,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,3.186,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.641,Windows,Acer,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.839,Linux,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,0.735,Linux,HP,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,5.2,Mac,Apple,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,1.063,Windows,Dell,0,Intel Core i3,4,AMD
1,0,0,0,0,1,1,2.69,Mac,Apple,0,Intel Dual Core,8,Intel
1,0,0,0,0,1,1,3.236,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,1.588,Windows,Dell,0,Intel Core i7,8,AMD
1,1,1,1,1,0,0,6.091,Mac,Apple,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,1.063,Linux,Lenovo,0,Intel Core i3,8,Nvidia
1,0,0,0,0,1,1,2.086,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.409,Windows,Asus,0,Intel Dual Core,2,Intel
0,0,0,0,0,0,0,2.129,Windows,Lenovo,0,Intel Core i5,8,Nvidia
0,0,0,0,0,0,0,0.55,Linux,HP,0,AMD Processor,4,AMD
1,0,0,0,0,1,1,1.745,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,1,1,1,1.404,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.892,Windows,Dell,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,2.342,Mac,Apple,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.705,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,1,1,1,2.766,Windows,Dell,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.91,Windows,HP,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.522,Windows,Chuwi,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,0.424,Windows,Asus,0,AMD Processor,2,AMD
0,0,0,0,0,0,0,0.936,Windows,HP,0,AMD Processor,4,AMD
1,0,0,1,1,1,1,3.983,Windows,Dell,1,Intel Core i7,16,Intel
1,0,0,0,0,1,1,2.127,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.531,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,0.782,Linux,Acer,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,2.086,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,1.041,Windows,HP,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,1.873,Windows,HP,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.829,Linux,Asus,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,3.195,Windows,Dell,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.115,Linux,Asus,0,Intel Core i5,8,Nvidia
