G,MD,W,AI,S,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,0,0,1,1,2.855,1,1,0,2,8,1
1,0,0,1,1,1.916,1,1,0,2,8,1
1,0,0,1,1,1.225,0,7,0,2,8,1
1,1,1,1,0,5.408,1,1,0,3,16,0
1,0,0,1,1,3.844,1,1,0,2,8,1
1,1,0,0,1,0.852,2,0,0,0,4,0
1,1,1,1,0,4.561,1,1,0,3,16,1
1,0,0,1,1,2.469,1,1,0,2,8,1
1,1,1,1,0,3.186,2,2,0,3,16,2
1,0,0,1,1,1.641,2,0,0,2,8,1
1,0,0,1,1,0.839,0,7,0,2,4,1
0,0,0,0,1,0.735,0,7,0,1,4,1
1,1,1,1,0,5.2,1,1,0,3,16,0
1,1,0,0,1,1.063,2,4,0,1,4,0
0,0,0,0,1,2.69,1,1,0,4,8,1
1,0,0,1,1,3.236,1,1,0,2,8,1
1,1,0,1,0,1.588,2,4,0,3,8,0
1,1,1,1,0,6.091,1,1,0,3,16,0
1,1,0,0,1,1.063,0,10,0,1,8,2
1,0,0,1,1,2.086,2,4,1,2,8,1
0,0,0,0,1,0.409,2,2,0,4,2,1
1,1,0,1,1,2.129,2,10,0,2,8,2
1,1,0,0,1,0.55,0,7,0,0,4,0
1,0,0,1,1,1.745,2,4,1,2,8,1
1,1,0,1,0,1.404,2,7,0,3,8,1
0,0,0,0,1,0.892,2,4,0,1,4,1
1,0,0,1,1,2.342,1,1,0,2,8,1
1,1,0,1,1,1.705,2,4,0,2,8,0
1,1,0,1,0,2.766,2,4,0,3,8,1
1,1,0,1,1,1.91,2,7,0,2,8,2
0,0,0,0,1,0.522,2,3,0,4,4,1
1,1,0,0,1,0.424,2,2,0,0,2,0
1,1,0,0,1,0.936,2,7,0,0,4,0
1,1,1,1,0,3.983,2,4,1,3,16,1
1,0,0,1,1,2.127,1,1,0,2,8,1
0,0,0,0,1,0.531,2,10,0,4,4,1
0,0,0,0,1,0.782,0,0,0,1,4,1
1,1,0,1,1,2.086,2,4,0,2,8,0
1,0,0,1,1,1.041,2,7,0,2,4,1
1,1,0,1,1,1.873,2,7,0,2,8,2
0,0,0,0,1,0.829,0,2,0,1,4,1
1,1,1,1,0,3.195,2,4,0,3,16,2
1,1,0,1,1,1.115,0,2,0,2,8,2
1,0,0,1,1,1.453,2,0,0,2,4,1
1,1,0,1,1,2.129,2,4,1,2,12,2
1,0,0,1,1,3.024,1,1,0,2,8,1
0,0,0,0,1,0.786,0,10,0,1,4,1
1,1,0,0,1,2.768,2,2,0,0,8,0
1,1,0,1,1,1.362,2,4,0,2,4,0
1,1,0,0,1,0.993,2,2,0,4,4,2
0,0,0,0,1,0.68,0,10,1,4,4,1
1,1,0,1,0,1.792,2,0,0,3,8,2
1,1,0,0,1,0.849,2,7,0,0,4,0
1,1,0,1,0,2.351,2,7,0,3,8,1
0,0,0,0,1,0.818,2,0,0,1,4,1
1,1,0,1,0,1.636,2,4,0,3,8,0
0,0,0,0,1,0.936,2,7,0,1,4,1
1,0,0,1,1,1.249,2,2,0,2,4,1
1,1,1,1,0,5.219,2,11,0,3,16,2
0,0,0,0,1,0.884,0,2,0,1,4,1
1,1,1,1,0,2.768,2,4,0,3,16,0
1,0,0,1,1,1.873,2,4,0,2,8,1
0,0,0,0,1,1.277,0,10,0,1,8,1
1,0,0,1,1,2.005,2,2,0,2,8,1
